market,odds_col,window,score_state,stat_filter,n,wr,roi,pl,ci_lo,ci_hi,avg_odds,sharpe,max_dd,n_leagues,max_lg_conc,top_league,roi_train,roi_test,n_train,n_test,overlap_note
BACK Away,back_away,55-75,away+1,xg_low,135,65.9,39.5,533.22,57.6,73.4,2.13,3.12,65.73,48,0.07,Desconocida,40.1,38.0,94,41,away_fav_leading
LAY Home,lay_home,55-75,away+1,none,39,87.2,54.2,211.4,73.3,94.4,3.17,3.09,66.5,23,0.1,Super League,46.8,70.9,27,12,
LAY CS 1-1,lay_rc_1_1,65-85,lead1,none,89,88.8,46.0,409.0,80.5,93.8,5.11,3.07,78.5,29,0.18,Desconocida,58.4,17.4,62,27,
BACK Away,back_away,50-70,away+1,none,173,63.6,32.1,555.18,56.2,70.4,2.15,3.05,78.22,51,0.07,Desconocida,30.5,35.8,121,52,away_fav_leading
BACK Home,back_home,65-85,home+1,none,198,73.2,21.0,414.91,66.7,78.9,1.74,3.01,53.67,43,0.08,Desconocida,20.2,22.7,138,60,
BACK Home,back_home,70-90,home+1,none,161,75.8,22.8,367.08,68.6,81.7,1.69,2.96,46.74,41,0.09,Desconocida,24.5,19.0,112,49,
LAY CS 1-1,lay_rc_1_1,65-85,any,xg_low,79,86.1,44.4,350.6,76.8,92.0,4.9,2.94,54.0,29,0.22,Desconocida,47.2,37.9,55,24,
BACK Home,back_home,70-90,home+1,xg_low,132,77.3,24.6,324.86,69.4,83.6,1.68,2.9,51.11,41,0.08,Desconocida,28.0,16.9,92,40,
BACK Under 3.5,back_under35,60-80,any,sot_home,67,74.6,37.8,253.25,63.1,83.5,1.88,2.88,41.16,30,0.12,Desconocida,35.3,43.2,46,21,
LAY Over 4.5,lay_over45,60-80,any,none,209,83.3,33.0,690.4,77.6,87.7,6.52,2.86,144.3,45,0.09,Bundesliga,32.9,33.4,146,63,lay_over45_v3
BACK Away,back_away,55-75,away+1,none,156,64.7,32.0,499.43,57.0,71.8,2.07,2.84,71.74,49,0.08,Desconocida,30.0,36.6,109,47,away_fav_leading
BACK Over 2.5,back_over25,40-60,tied_1-1,xg_low,130,78.5,20.2,262.27,70.6,84.7,1.56,2.81,38.77,43,0.08,Desconocida,22.3,15.2,91,39,
LAY Draw,lay_draw,60-80,away+1,xg_low,123,82.9,33.0,406.2,75.3,88.6,3.52,2.64,84.0,43,0.07,Bundesliga,29.0,42.5,86,37,
LAY Draw,lay_draw,50-70,lead1,xg_low,293,79.5,22.7,664.4,74.5,83.7,3.67,2.63,158.4,50,0.07,Desconocida,28.2,9.8,205,88,
LAY Over 4.5,lay_over45,65-85,any,none,191,79.1,29.5,562.9,72.7,84.2,5.81,2.55,137.0,44,0.08,Desconocida,30.6,26.9,133,58,lay_over45_v3
BACK Under 3.5,back_under35,60-80,goals_ge2,sot_home,57,68.4,39.7,226.06,55.5,79.0,2.0,2.54,41.16,29,0.09,Desconocida,36.4,46.6,39,18,
BACK Over 2.5,back_over25,40-60,goals_ge2,sot_home,46,82.6,28.1,129.34,69.3,90.9,1.54,2.49,10.88,25,0.09,Desconocida,37.8,6.0,32,14,
LAY Over 4.5,lay_over45,60-80,any,sot_home,43,90.7,55.7,239.6,78.4,96.3,6.48,2.48,64.0,27,0.12,MLS,38.7,95.0,30,13,lay_over45_v3
LAY Over 4.5,lay_over45,60-80,goals_ge2,none,198,82.3,29.6,585.9,76.4,87.0,6.37,2.44,160.8,45,0.07,Desconocida,31.9,24.2,138,60,lay_over45_v3
LAY Draw,lay_draw,65-85,lead1,xg_low,203,80.3,25.2,511.1,74.3,85.2,3.51,2.42,100.5,47,0.07,Bundesliga,28.3,17.9,142,61,
LAY Over 4.5,lay_over45,50-70,lead2,none,87,88.5,42.6,370.2,80.1,93.6,6.87,2.41,149.0,37,0.13,Desconocida,31.1,68.1,60,27,lay_over45_v3
BACK Over 2.5,back_over25,40-60,tied_1-1,none,143,76.9,16.4,234.12,69.4,83.1,1.53,2.4,38.77,43,0.08,La Liga,14.4,20.9,100,43,
LAY Draw,lay_draw,65-85,away+1,xg_low,101,84.2,34.0,343.2,75.8,90.0,3.6,2.38,76.5,37,0.07,Liga Argentina,33.6,34.8,70,31,
LAY Over 4.5,lay_over45,65-85,goals_ge2,none,186,78.5,27.7,515.4,72.0,83.8,5.72,2.34,137.0,44,0.08,Desconocida,29.1,24.5,130,56,lay_over45_v3
BACK Over 3.5,back_over35,45-65,goals_ge3,xg_low,95,63.2,30.1,286.27,53.1,72.2,2.07,2.33,60.98,41,0.08,Championship,28.5,33.9,66,29,
BACK Under 4.5,back_under45,60-80,any,sot_home,38,89.5,18.3,69.41,75.9,95.8,1.38,2.33,14.87,26,0.11,MLS,14.5,26.4,26,12,
LAY Draw,lay_draw,60-80,away+1,none,142,81.7,27.7,393.7,74.5,87.2,3.53,2.29,109.5,45,0.07,Bundesliga,25.9,32.0,99,43,
LAY Over 3.5,lay_over35,45-65,any,sot_away,39,76.9,39.3,153.2,61.7,87.4,3.98,2.29,33.0,22,0.18,Desconocida,51.9,11.0,27,12,
