id,timestamp_utc,match_id,match_name,match_url,strategy,strategy_name,minute,score,recommendation,back_odds,min_odds,expected_value,confidence,win_rate_historical,roi_historical,sample_size,bet_type,stake,notes,status,result,pl,telegram_sent
39,2026-03-18 20:24:43,pescara-entella-apuestas-35376611,Pescara - Entella,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-b-italiana/pescara-entella-apuestas-35376611,under35_late,BACK U3.5 Late,61,3-0,BACK UNDER 3.5 @ 2.42,2.42,1.5,0.442,medium,61.4,46.8,88,paper,1.0,auto,won,won,1.42,1
40,2026-03-18 20:25:15,calcio-avellino-ssd-sudtirol-apuestas-35376370,Avellino - Sudtirol,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-b-italiana/calcio-avellino-ssd-sudtirol-apuestas-35376370,draw_xg_conv,BACK Draw xG Convergence,65,1-1,BACK DRAW @ 1.70,1.7,1.3,-0.096,medium,54.3,25.6,232,paper,1.0,auto,lost,lost,-1.0,1
41,2026-03-18 20:25:46,al-kholood-club-al-ittihad-apuestas-35381220,Al-Kholood Club - Al-Ittihad,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/arabia-saud%C3%AD-kings-cup/al-kholood-club-al-ittihad-apuestas-35381220,away_fav_leading,BACK Away Fav Leading,61,0-1,BACK AWAY @ 1.18,1.18,0,-0.056,medium,80.6,25.5,144,paper,1.0,auto,lost,lost,-1.0,1
42,2026-03-18 20:28:21,al-ahli-al-hilal-apuestas-35381299,Al Ahli - Al-Hilal,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/arabia-saud%C3%AD-kings-cup/al-ahli-al-hilal-apuestas-35381299,away_fav_leading,BACK Away Fav Leading,62,0-1,BACK AWAY @ 1.51,1.51,0,0.197,medium,80.6,25.5,144,paper,1.0,auto,lost,lost,-1.0,1
43,2026-03-18 20:29:52,pescara-entella-apuestas-35376611,Pescara - Entella,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-b-italiana/pescara-entella-apuestas-35376611,cs_big_lead,BACK CS Big Lead,67,3-0,BACK CS 3-0 @ 2.28,2.28,1.3,0.378,medium,62.2,71.8,74,paper,1.0,auto,won,won,1.22,1
44,2026-03-18 20:32:49,macara-delfin-apuestas-35377184,Macara - Delfin,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-a-ecuatoriana/macara-delfin-apuestas-35377184,cs_one_goal,BACK CS One-Goal,69,1-0,BACK CS 1-0 @ 1.83,1.83,1.8,-0.025,medium,54.5,44.0,200,paper,1.0,auto,won,won,0.79,1
45,2026-03-18 20:34:20,al-kholood-club-al-ittihad-apuestas-35381220,Al-Kholood Club - Al-Ittihad,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/arabia-saud%C3%AD-kings-cup/al-kholood-club-al-ittihad-apuestas-35381220,cs_one_goal,BACK CS One-Goal,70,0-1,BACK CS 0-1 @ 2.34,2.34,1.8,0.239,medium,54.5,44.0,200,paper,1.0,auto,lost,lost,-1.0,1
46,2026-03-18 20:37:58,al-ahli-al-hilal-apuestas-35381299,Al Ahli - Al-Hilal,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/arabia-saud%C3%AD-kings-cup/al-ahli-al-hilal-apuestas-35381299,cs_one_goal,BACK CS One-Goal,72,0-1,BACK CS 0-1 @ 2.40,2.4,1.8,0.27,medium,54.5,44.0,200,paper,1.0,auto,lost,lost,-1.0,1
47,2026-03-18 20:42:08,al-kholood-club-al-ittihad-apuestas-35381220,Al-Kholood Club - Al-Ittihad,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/arabia-saud%C3%AD-kings-cup/al-kholood-club-al-ittihad-apuestas-35381220,cs_11,BACK CS 1-1 Late,77,1-1,BACK CS 1-1 @ 1.74,1.74,0,-0.169,medium,48.8,19.5,129,paper,1.0,auto,won,won,0.7,1
48,2026-03-18 21:09:00,southampton-norwich-apuestas-35367829,Southampton - Norwich,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/inglaterra-sky-bet-championship/southampton-norwich-apuestas-35367829,home_fav_leading,BACK Home Fav Leading,63,1-0,BACK HOME @ 1.32,1.32,1.3,0.038,medium,79.6,57.9,157,paper,1.0,auto,won,won,0.3,1
